Lines of code metrics,Tue, 21 Nov 2023 09:26:45 GMT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
com.example,n/a,155,n/a,431,n/a,"2,363",n/a,"2,006",n/a,357,n/a,n/a,"1,926",n/a,286
com.example.feelgoodinc,0,155,90,431,645,"2,363",434,"2,006",211,357,600,411,"1,926",189,286
com.example.feelgoodinc.activityRecyclerView,0,0,4,4,31,31,31,31,0,0,31,31,31,0,n/a
com.example.feelgoodinc.adapters,0,0,26,26,99,99,99,99,0,0,99,99,99,0,n/a
com.example.feelgoodinc.fragments,0,41,68,68,495,802,495,802,0,0,466,466,763,0,n/a
com.example.feelgoodinc.fragments.calmingActivities,0,5,0,0,231,231,231,231,0,0,226,226,226,0,n/a
com.example.feelgoodinc.fragments.tutorialFragments,0,5,0,0,76,76,76,76,0,0,71,71,71,0,n/a
com.example.feelgoodinc.models,0,3,30,30,164,164,164,164,0,0,161,161,161,0,n/a
com.example.feelgoodinc.services,0,66,213,213,622,622,476,476,146,146,558,461,461,97,97
drawable,0,1,n/a,n/a,312,312,312,312,0,0,312,312,312,0,n/a
font,0,0,n/a,n/a,28,28,28,28,0,0,28,28,28,0,n/a
layout,0,0,n/a,n/a,"1,239","1,239","1,239","1,239",0,0,"1,239","1,239","1,239",0,n/a
menu,0,0,n/a,n/a,23,23,23,23,0,0,23,23,23,0,n/a
values,0,11,n/a,n/a,148,148,148,148,0,0,148,148,148,0,n/a
values-land,0,0,n/a,n/a,3,3,3,3,0,0,3,3,3,0,n/a
values-night,0,3,n/a,n/a,7,7,7,7,0,0,7,7,7,0,n/a
values-w1240dp,0,0,n/a,n/a,3,3,3,3,0,0,3,3,3,0,n/a
values-w600dp,0,0,n/a,n/a,3,3,3,3,0,0,3,3,3,0,n/a
xml,0,26,n/a,n/a,32,32,32,32,0,0,14,14,14,0,n/a

Module,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Feel_Good_Inc,n/a,4,"8,626",0,26,"10,022","1,080,266",0,0,"1,055,945",0,0
Feel_Good_Inc.app,n/a,0,0,0,53,0,101,0,0,81,0,0
Feel_Good_Inc.app.androidTest,5,0,0,21,0,0,21,0,21,15,0,15
Feel_Good_Inc.app.main,421,0,0,"2,006",0,"1,843","3,849","3,804",0,"3,330","3,285",0
Feel_Good_Inc.app.unitTest,5,0,0,336,0,0,336,0,336,261,0,261

FileType,LOC,NCLOC
.gitignore (GitIgnore),17,17
C/C++,909,780
CSS,"1,088","1,088"
Definitions file for Kotlin/Native C interoperability,451,412
File containing settings for editor,68,68
Files supported via TextMate bundles,"200,829","200,829"
Groovy,4,4
HTML,"8,626","8,578"
JSON,"43,677","43,677"
Java,"2,363","1,781"
JavaScript,"739,533","739,533"
Kotlin,79,76
Markdown,"38,481","38,481"
Patch,601,601
Properties,36,10
Scalable Vector Graphics,"11,172","11,171"
Shell script,282,282
Shrinker Config,18,0
Text,"23,920",n/a
XML,"11,865","11,690"
YAML,554,554

Project,CLOC,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,"1,342",431,4,"8,626","2,363",79,"11,865","1,084,573","3,804",357,"1,059,632","3,285",276

